Organisation Name,Part Number,Average of events per week over 12 weeks
"City Furniture, Inc.",D0YG9ZX,1.083333333
UBER FREIGHT US LLC,D0YG9ZX,1
Tata Consultancy Services,D0YG9ZX,0.916666667
JD Irving,D0YG9ZX,0.833333333
CEPSA GASIB GLP,D0YG9ZX,0.666666667
Henry Schein Inc.,D0YG9ZX,0.5
JUBILEE HOLDINGS LIMITED,D0YG9ZX,0.5
UNIPART GROUP OF COMPANIES LIM,D0YG9ZX,0.416666667
Pragma Edge,D0YG9ZX,0.333333333
INTERNATIONAL PAPER CO,D0YG9ZX,0.25
CarlFrancis Account,D0YG9ZX,0.25
PSW Digital (EAGLE SOCIEDADE DE CREDITO DIRETO S.A.),D0YG9ZX,0.25
"SOUTHERN GLAZER'S WINE AND SPIRITS OF THE PACIFIC NORTHWEST, LLC",D0YG9ZX,0.166666667
ダイワボウ情報システム株式会社,D0YG9ZX,0.166666667
Promigas,D0YG9ZX,0.166666667
i1solutions,D0YG9ZX,0.166666667
"Applied Materials, Inc.",D0YG9ZX,0.083333333
"Europartners México, S.A. de C",D0YG9ZX,0.083333333
Mainsoft,D0YG9ZX,0.083333333
Promigas,D0YG9ZX,0.083333333
Dp World Antwerp Holding,D0YG9ZX,0.083333333
המועצה להסדרי הימורים בספורט,D0YG9ZX,0.083333333
FLEXIS,D0YG9ZX,0.083333333
LYNTIA NETWORKS S.A.U,D0YG9ZX,0.083333333
Colruyt Group nv,D0YG9ZX,0.083333333
GBM,D0YG9ZX,0.083333333
Coopeuch,D0YG9ZX,0.083333333
DHL DGF,D0YG9ZX,0.083333333
Fuller Technologies Denmark A/,D0YG9ZX,0.083333333
Savino Del Bene IT s.r.l.,D0YG9ZX,0.083333333
Atlantic City,D0YG9ZX,0
ASB Resources,D0YG9ZX,0
DSM GROUP BUSINESS SERVICES B.V,D0YG9ZX,0
UBER FREIGHT US LLC,D0YG9ZX,0
"The Bancorp, Inc.",D0YG9ZX,0
FSFB,D0YG9ZX,0
CoEnterprise,D0YG9ZX,0
Cadena Comercial OXXO S.A. de,D0YG9ZX,0
INTERNATIONAL PAPER CO,D0YG9ZX,0
THERMO FISHER SCIENTIFIC INC,D0YG9ZX,0
PSW Digital (AREZZO&CO),D0YG9ZX,0
